iter	Passed	Remaining
322	807	1692
323	809	1689
324	811	1686
325	815	1686
326	818	1685
327	821	1682
328	823	1679
329	825	1675
330	828	1673
331	830	1671
332	833	1669
333	835	1666
334	837	1663
335	841	1663
336	844	1661
337	846	1658
338	848	1655
339	850	1651
340	853	1648
341	856	1646
342	858	1644
343	860	1640
344	862	1637
345	865	1635
346	867	1632
347	871	1632
348	873	1630
349	876	1627
350	878	1624
351	881	1621
352	884	1621
353	886	1618
354	889	1615
355	891	1612
356	894	1610
357	897	1610
358	900	1607
359	902	1604
360	904	1601
361	906	1597
362	909	1596
363	911	1593
364	914	1590
365	916	1587
366	918	1584
367	921	1583
368	924	1580
369	927	1578
370	929	1575
371	931	1572
372	934	1570
373	937	1568
374	939	1566
375	941	1562
376	944	1560
377	946	1557
378	949	1555
379	952	1554
380	955	1552
381	957	1549
382	965	1555
383	967	1552
384	969	1548
385	972	1546
386	975	1545
387	978	1543
388	981	1540
389	983	1538
390	985	1535
391	989	1534
392	992	1532
393	995	1530
394	997	1527
395	999	1524
396	1005	1526
397	1007	1523
398	1009	1520
399	1011	1517
400	1015	1516
401	1018	1515
402	1020	1512
403	1023	1509
404	1025	1506
405	1028	1504
406	1031	1502
407	1033	1499
408	1036	1497
409	1038	1494
410	1041	1492
411	1044	1490
412	1047	1488
413	1049	1486
414	1052	1483
415	1055	1481
416	1059	1481
417	1062	1479
418	1065	1477
419	1072	1480
420	1076	1480
421	1079	1477
422	1083	1478
423	1086	1476
424	1089	1474
425	1092	1472
426	1099	1475
427	1103	1474
428	1106	1472
429	1111	1472
430	1114	1471
431	1117	1469
432	1120	1467
433	1124	1466
434	1127	1464
435	1129	1461
436	1132	1459
437	1136	1458
438	1139	1456
439	1142	1454
440	1145	1452
441	1151	1453
442	1154	1451
443	1156	1448
444	1159	1446
445	1164	1446
446	1166	1443
447	1169	1441
448	1172	1438
449	1176	1438
450	1179	1436
451	1182	1433
452	1185	1430
453	1188	1429
454	1193	1429
455	1195	1426
456	1198	1423
457	1202	1423
458	1206	1421
459	1209	1419
460	1211	1417
461	1214	1414
462	1218	1413
463	1220	1410
464	1223	1407
465	1226	1405
466	1230	1404
467	1234	1403
468	1236	1400
469	1239	1397
470	1243	1396
471	1246	1394
472	1248	1391
473	1251	1388
474	1254	1386
475	1257	1384
476	1260	1382
477	1262	1379
478	1266	1377
479	1270	1376
480	1274	1375
481	1277	1373
482	1280	1370
483	1284	1369
484	1287	1367
485	1291	1365
486	1293	1362
487	1298	1362
488	1301	1360
489	1304	1357
490	1308	1355
491	1310	1353
492	1315	1353
493	1318	1350
494	1322	1349
495	1326	1348
496	1329	1345
497	1332	1342
498	1334	1340
499	1339	1339
500	1341	1336
501	1344	1334
502	1347	1331
503	1352	1331
504	1355	1328
505	1357	1325
506	1360	1323
507	1367	1324
508	1369	1321
509	1371	1318
510	1374	1315
511	1379	1315
512	1382	1312
513	1384	1309
514	1387	1306
515	1391	1305
516	1395	1303
517	1398	1300
518	1400	1297
519	1403	1295
520	1406	1293
521	1409	1290
522	1412	1288
523	1414	1285
524	1418	1283
525	1421	1280
526	1424	1278
527	1427	1276
528	1433	1276
529	1435	1273
530	1438	1270
531	1441	1268
532	1444	1265
533	1447	1263
534	1450	1260
535	1454	1258
536	1458	1257
537	1461	1254
538	1463	1251
539	1468	1250
540	1471	1248
541	1474	1245
542	1476	1242
543	1480	1241
544	1484	1239
545	1487	1236
546	1489	1233
547	1492	1231
548	1496	1229
549	1499	1227
550	1503	1224
551	1506	1222
552	1511	1221
553	1514	1219
554	1517	1216
555	1521	1215
556	1525	1212
557	1528	1210
558	1531	1208
559	1534	1205
560	1538	1203
561	1541	1201
562	1544	1199
563	1550	1198
564	1554	1196
565	1556	1193
566	1561	1192
567	1564	1190
568	1567	1187
569	1570	1184
570	1573	1182
571	1577	1180
572	1580	1177
573	1583	1175
574	1588	1174
575	1591	1171
576	1594	1168
577	1597	1166
578	1601	1164
579	1605	1162
580	1608	1160
581	1612	1157
582	1615	1155
583	1619	1153
584	1622	1150
585	1625	1148
586	1628	1145
587	1632	1143
588	1635	1141
589	1637	1138
590	1643	1137
591	1646	1134
592	1650	1132
593	1656	1132
594	1659	1129
595	1662	1126
596	1667	1125
597	1670	1123
598	1674	1120
599	1676	1117
600	1682	1116
601	1685	1114
602	1688	1111
603	1695	1111
604	1698	1109
605	1701	1106
606	1708	1106
607	1712	1104
608	1715	1101
609	1720	1099
610	1723	1097
611	1726	1094
612	1729	1092
613	1733	1089
614	1736	1086
615	1740	1084
616	1744	1082
617	1748	1080
618	1751	1077
619	1754	1075
620	1760	1074
621	1763	1071
622	1767	1069
623	1772	1067
624	1774	1064
625	1777	1062
626	1782	1060
627	1786	1058
628	1790	1056
629	1793	1053
630	1798	1051
631	1802	1049
632	1805	1047
633	1811	1045
634	1815	1043
635	1818	1040
636	1822	1038
637	1827	1036
638	1830	1034
639	1834	1032
640	1837	1029
641	1840	1026
642	1843	1023
643	1847	1021
644	1851	1018
645	1854	1015
646	1857	1013
647	1862	1011
648	1866	1009
649	1868	1006
650	1871	1003
651	1878	1002
652	1882	1000
653	1885	997
654	1892	996
655	1894	993
656	1898	990
657	1902	988
658	1906	986
659	1909	983
660	1915	982
661	1918	979
662	1921	976
663	1924	973
664	1929	972
665	1933	969
666	1936	966
667	1942	965
668	1945	962
669	1948	959
670	1951	957
671	1956	954
672	1959	951
673	1962	949
674	1966	947
675	1970	944
676	1973	941
677	1976	938
678	1981	936
679	1984	933
680	1987	930
681	1994	929
682	1997	927
683	2000	924
684	2003	921
685	2007	918
686	2010	916
687	2094	949
688	2145	968
689	2148	965
690	2152	962
691	2155	959
692	2158	956
693	2161	952
694	2164	949
695	2168	946
696	2170	943
697	2209	956
698	2213	953
699	2216	949
700	2220	946
701	2222	943
702	2229	941
703	2232	938
704	2236	935
705	2239	932
706	2242	929
707	2245	926
708	2248	922
709	2251	919
710	2255	916
711	2258	913
712	2261	910
713	2264	907
714	2267	903
715	2273	901
716	2276	898
717	2280	895
718	2284	892
719	2287	889
720	2290	886
721	2295	883
722	2298	880
723	2302	877
724	2308	875
725	2311	872
726	2315	869
727	2318	866
728	2324	864
729	2327	860
730	2330	857
731	2334	854
732	2337	851
733	2340	848
734	2343	844
735	2347	842
736	2350	838
737	2354	835
738	2356	832
739	2360	829
740	2363	826
741	2366	822
742	2369	819
743	2374	816
744	2377	813
745	2380	810
746	2383	807
747	2387	804
748	2390	801
749	2393	797
750	2396	794
751	2398	791
752	2402	787
753	2405	784
754	2408	781
755	2411	778
756	2414	774
757	2417	771
758	2420	768
759	2423	765
760	2426	762
761	2428	758
762	2432	755
763	2434	752
764	2437	748
765	2441	745
766	2445	742
767	2448	739
768	2450	736
769	2454	733
770	2458	730
771	2460	726
772	2463	723
773	2466	720
774	2469	716
775	2472	713
776	2475	710
777	2478	707
778	2481	704
779	2484	700
780	2488	697
781	2490	694
782	2495	691
783	2498	688
784	2501	685
785	2505	682
786	2508	678
787	2513	676
788	2516	672
789	2519	669
790	2522	666
791	2526	663
792	2529	660
793	2532	657
794	2535	653
795	2540	650
796	2543	647
797	2546	644
798	2548	641
799	2552	638
800	2556	635
801	2558	631
802	2561	628
803	2564	625
804	2567	621
805	2570	618
806	2574	615
807	2577	612
808	2580	609
809	2582	605
810	2586	602
811	2590	599
812	2593	596
813	2595	593
814	2600	590
815	2603	587
816	2607	584
817	2609	580
818	2612	577
819	2615	574
820	2618	570
821	2621	567
822	2624	564
823	2628	561
824	2632	558
825	2634	555
826	2637	551
827	2640	548
828	2643	545
829	2647	542
830	2650	539
831	2653	535
832	2656	532
833	2659	529
834	2663	526
835	2665	522
836	2668	519
837	2672	516
838	2675	513
839	2678	510
840	2682	507
841	2685	504
842	2689	500
843	2692	497
844	2695	494
845	2698	491
846	2702	488
847	2705	484
848	2709	481
849	2712	478
850	2715	475
851	2718	472
852	2721	468
853	2725	465
854	2728	462
855	2731	459
856	2734	456
857	2736	452
858	2741	449
859	2743	446
860	2746	443
861	2749	440
862	2752	436
863	2756	433
864	2759	430
865	2762	427
866	2765	424
867	2768	420
868	2771	417
869	2774	414
870	2778	411
871	2781	408
872	2785	405
873	2788	401
874	2792	398
875	2796	395
876	2799	392
877	2802	389
878	2806	386
879	2810	383
880	2813	379
881	2815	376
882	2819	373
883	2822	370
884	2825	367
885	2827	363
886	2830	360
887	2834	357
888	2837	354
889	2839	350
890	2843	347
891	2846	344
892	2850	341
893	2852	338
894	2856	335
895	2859	331
896	2863	328
897	2866	325
898	2868	322
899	2871	319
900	2875	315
901	2877	312
902	2881	309
903	2885	306
904	2888	303
905	2891	299
906	2894	296
907	2897	293
908	2901	290
909	2904	287
910	2909	284
911	2912	281
912	2915	277
913	2918	274
914	2921	271
915	2924	268
916	2928	265
917	2931	261
918	2933	258
919	2936	255
920	2940	252
921	2943	249
922	2946	245
923	2948	242
924	2952	239
925	2955	236
926	2957	232
927	2960	229
928	2963	226
929	2969	223
930	2972	220
931	2974	217
932	2979	213
933	2982	210
934	2985	207
935	2987	204
936	2990	201
937	2994	197
938	2997	194
939	3000	191
940	3003	188
941	3006	185
942	3009	181
943	3012	178
944	3015	175
945	3020	172
946	3025	169
947	3028	166
948	3030	162
949	3033	159
950	3037	156
951	3039	153
952	3042	150
953	3046	146
954	3049	143
955	3052	140
956	3055	137
957	3058	134
958	3061	130
959	3065	127
960	3068	124
961	3071	121
962	3074	118
963	3078	114
964	3081	111
965	3084	108
966	3087	105
967	3091	102
968	3094	98
969	3097	95
970	3100	92
971	3104	89
972	3106	86
973	3109	83
974	3112	79
975	3116	76
976	3119	73
977	3122	70
978	3125	67
979	3128	63
980	3131	60
981	3133	57
982	3137	54
983	3143	51
984	3146	47
985	3149	44
986	3152	41
987	3155	38
988	3158	35
989	3161	31
990	3164	28
991	3168	25
992	3171	22
993	3174	19
994	3177	15
995	3181	12
996	3184	9
997	3188	6
998	3190	3
999	3194	0
